j2,plane,wire,channel,asic
1,w,25,15,5
3,w,26,0,7
4,w,27,14,5
6,w,28,1,7
7,w,29,13,5
9,w,30,2,7
10,w,31,12,5
12,w,32,3,7
13,w,33,11,5
15,w,34,4,7
16,w,35,10,5
18,w,36,5,7
19,v,21,9,5
21,v,22,6,7
22,v,23,8,5
24,v,24,7,7
25,v,25,7,5
27,v,26,8,7
28,v,27,6,5
30,v,28,9,7
31,v,29,5,5
33,v,30,10,7
34,u,21,4,5
36,u,22,11,7
37,u,23,3,5
39,u,24,12,7
40,u,25,2,5
42,u,26,13,7
43,u,27,1,5
45,u,28,14,7
46,u,29,0,5
48,u,30,15,7
49,w,37,15,6
51,w,38,0,8
52,w,39,14,6
54,w,40,1,8
55,w,41,13,6
57,w,42,2,8
58,w,43,12,6
60,w,44,3,8
61,w,45,11,6
63,w,46,4,8
64,w,47,10,6
66,w,48,5,8
67,v,31,9,6
69,v,32,6,8
70,v,33,8,6
72,v,34,7,8
73,v,35,7,6
75,v,36,8,8
76,v,37,6,6
78,v,38,9,8
79,v,39,5,6
81,v,40,10,8
82,u,31,4,6
84,u,32,11,8
85,u,33,3,6
87,u,34,12,8
88,u,35,2,6
90,u,36,13,8
91,u,37,1,6
93,u,38,14,8
94,u,39,0,6
96,u,40,15,8
